# OCT iter       1519;   J_T =   5.984794090181E-03;   pulse_id =          1
# converged
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  4.53976988494247102E+00  4.85725284339980874E+01  1.47939882909991638E+02
  4.56478239119559781E+00  4.79520872513922001E+01  1.47825978151091277E+02
  4.58979489744872371E+00  4.73080736716823722E+01  1.47689742031897936E+02
  4.61480740370185050E+00  4.66396429987967949E+01  1.47530983305072340E+02
  4.63981990995497728E+00  4.59459908220428161E+01  1.47349582456407063E+02
  4.66483241620810407E+00  4.52263581101742602E+01  1.47145492052616135E+02
  4.68984492246122997E+00  4.44800360731001163E+01  1.46918736391967172E+02
  4.71485742871435676E+00  4.37063707307868299E+01  1.46669410462107891E+02
  4.73986993496748354E+00  4.29047671363323389E+01  1.46397678215834532E+02
  4.76488244122061033E+00  4.20746932086836978E+01  1.46103770182604819E+02
  4.78989494747373623E+00  4.12156831395929828E+01  1.45787980441389806E+02
  4.81490745372686302E+00  4.03273403488077022E+01  1.45450662988750622E+02
  4.83991995997998981E+00  3.94093399707987260E+01  1.45092227544714405E+02
  4.86493246623311659E+00  3.84614308652420718E+01  1.44713134847806032E+02
  4.88994497248624249E+00  3.74834371516881788E+01  1.44313891499248172E+02
  4.91495747873936928E+00  3.64752592761946133E+01  1.43895044424592811E+02
  4.93996998499249607E+00  3.54368746239833285E+01  1.43457175028491150E+02
  4.96498249124562285E+00  3.43683376973482524E+01  1.43000893124785392E+02
  4.98999499749874875E+00  3.32697798820571435E+01  1.42526830729185605E+02
  5.01500750375187554E+00  3.21414088283814152E+01  1.42035635805350381E+02
  5.04002001000500233E+00  3.09835074747574453E+01  1.41527966056930694E+02
  5.06503251625812911E+00  2.97964327430309908E+01  1.41004482857963410E+02
  5.09004502251125501E+00  2.85806139344112218E+01  1.40465845411811699E+02
  5.11505752876438180E+00  2.73365508548605050E+01  1.39912705224642252E+02
  5.14007003501750859E+00  2.60648116977777882E+01  1.39345700973216736E+02
  5.16508254127063537E+00  2.47660307107110462E+01  1.38765453838779706E+02
  5.19009504752376127E+00  2.34409056715774291E+01  1.38172563369111970E+02
  5.21510755377688806E+00  2.20901951986163496E+01  1.37567603919701924E+02
  5.24012006003001485E+00  2.07147159171255453E+01  1.36951121712789075E+02
  5.26513256628314164E+00  1.93153395050379615E+01  1.36323632539973886E+02
  5.29014507253626753E+00  1.78929896385858491E+01  1.35685620120623810E+02
  5.31515757878939432E+00  1.64486388587047330E+01  1.35037535114735846E+02
  5.34017008504252111E+00  1.49833053784187413E+01  1.34379794775604637E+02
  5.36518259129564790E+00  1.34980498511869129E+01  1.33712783214954470E+02
  5.39019509754877379E+00  1.19939721200207057E+01  1.33036852241413811E+02
  5.41520760380190058E+00  1.04722079670094619E+01  1.32352322722653099E+02
  5.44022011005502737E+00  8.93392588267644605E+00  1.31659486412372615E+02
  5.46523261630815416E+00  7.38032387420163527E+00  1.30958608175844859E+02
  5.49024512256128006E+00  5.81262633096334014E+00  1.30249928541997434E+02
  5.51525762881440684E+00  4.23208096495160202E+00  1.29533666506146318E+02
  5.54027013506753363E+00  2.63995584237397285E+00  1.28810022505529702E+02
  5.56528264132066042E+00  1.03753652115182460E+00  1.28079181489634692E+02
  5.59029514757378632E+00 -5.73876693030664242E-01  1.27341316008977827E+02
  5.61530765382691310E+00 -2.19297136189245689E+00  1.26596589249319464E+02
  5.64032016008003989E+00 -3.81842539353793375E+00  1.25845157943082057E+02
  5.66533266633316579E+00 -5.44890938102079492E+00  1.25087175095888625E+02
  5.69034517258629258E+00 -7.08308879971589977E+00  1.24322792473341764E+02
  5.71535767883941936E+00 -8.71962606638100013E+00  1.23552162801243341E+02
  5.74037018509254615E+00 -1.03571824665664725E+01  1.22775441641145420E+02
  5.76538269134567205E+00 -1.19944199608107898E+01  1.21992788912188999E+02
  5.79039519759879884E+00 -1.36300028837265277E+01  1.21204370039379455E+02
  5.81540770385192562E+00 -1.52625995535330556E+01  1.20410356717542385E+02
