# Formula "1freq_rwa" with E0 = 100.0, T = 50, w_L = 5.9325, w_d = 5.9325
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  7.81640820410205173E+00  1.11731834979371509E+01  0.00000000000000000E+00
  7.84142071035517851E+00  1.12576529276856938E+01  0.00000000000000000E+00
  7.86643321660830530E+00  1.13425184022159957E+01  0.00000000000000000E+00
  7.89144572286143120E+00  1.14277804541562134E+01  0.00000000000000000E+00
  7.91645822911455799E+00  1.15134396085138366E+01  0.00000000000000000E+00
  7.94147073536768477E+00  1.15994963826163815E+01  0.00000000000000000E+00
  7.96648324162081067E+00  1.16859512860524752E+01  0.00000000000000000E+00
  7.99149574787393746E+00  1.17728048206130662E+01  0.00000000000000000E+00
  8.01650825412706425E+00  1.18600574802328431E+01  0.00000000000000000E+00
  8.04152076038019104E+00  1.19477097509319794E+01  0.00000000000000000E+00
  8.06653326663331782E+00  1.20357621107580393E+01  0.00000000000000000E+00
  8.09154577288644461E+00  1.21242150297281217E+01  0.00000000000000000E+00
  8.11655827913957140E+00  1.22130689697713066E+01  0.00000000000000000E+00
  8.14157078539269641E+00  1.23023243846712642E+01  0.00000000000000000E+00
  8.16658329164582319E+00  1.23919817200091931E+01  0.00000000000000000E+00
  8.19159579789894998E+00  1.24820414131069199E+01  0.00000000000000000E+00
  8.21660830415207677E+00  1.25725038929703192E+01  0.00000000000000000E+00
  8.24162081040520356E+00  1.26633695802329527E+01  0.00000000000000000E+00
  8.26663331665833034E+00  1.27546388870999561E+01  0.00000000000000000E+00
  8.29164582291145713E+00  1.28463122172922439E+01  0.00000000000000000E+00
  8.31665832916458214E+00  1.29383899659908881E+01  0.00000000000000000E+00
  8.34167083541770893E+00  1.30308725197818749E+01  0.00000000000000000E+00
  8.36668334167083572E+00  1.31237602566009475E+01  0.00000000000000000E+00
  8.39169584792396250E+00  1.32170535456789420E+01  0.00000000000000000E+00
  8.41670835417708929E+00  1.33107527474872089E+01  0.00000000000000000E+00
  8.44172086043021608E+00  1.34048582136834398E+01  0.00000000000000000E+00
  8.46673336668334287E+00  1.34993702870576833E+01  0.00000000000000000E+00
  8.49174587293646965E+00  1.35942893014786410E+01  0.00000000000000000E+00
  8.51675837918959644E+00  1.36896155818403589E+01  0.00000000000000000E+00
  8.54177088544272145E+00  1.37853494440090483E+01  0.00000000000000000E+00
  8.56678339169584824E+00  1.38814911947702981E+01  0.00000000000000000E+00
  8.59179589794897502E+00  1.39780411317765356E+01  0.00000000000000000E+00
  8.61680840420210181E+00  1.40749995434947959E+01  0.00000000000000000E+00
  8.64182091045522860E+00  1.41723667091547547E+01  0.00000000000000000E+00
  8.66683341670835539E+00  1.42701428986971184E+01  0.00000000000000000E+00
  8.69184592296148217E+00  1.43683283727222531E+01  0.00000000000000000E+00
  8.71685842921460718E+00  1.44669233824391235E+01  0.00000000000000000E+00
  8.74187093546773397E+00  1.45659281696145886E+01  0.00000000000000000E+00
  8.76688344172086076E+00  1.46653429665229531E+01  0.00000000000000000E+00
  8.79189594797398755E+00  1.47651679958958066E+01  0.00000000000000000E+00
  8.81690845422711433E+00  1.48654034708722538E+01  0.00000000000000000E+00
  8.84192096048024112E+00  1.49660495949493964E+01  0.00000000000000000E+00
  8.86693346673336791E+00  1.50671065619331301E+01  0.00000000000000000E+00
  8.89194597298649470E+00  1.51685745558893164E+01  0.00000000000000000E+00
  8.91695847923962148E+00  1.52704537510951859E+01  0.00000000000000000E+00
  8.94197098549274649E+00  1.53727443119911591E+01  0.00000000000000000E+00
  8.96698349174587328E+00  1.54754463931329269E+01  0.00000000000000000E+00
  8.99199599799900007E+00  1.55785601391438995E+01  0.00000000000000000E+00
  9.01700850425212685E+00  1.56820856846679231E+01  0.00000000000000000E+00
  9.04202101050525364E+00  1.57860231543224003E+01  0.00000000000000000E+00
  9.06703351675838043E+00  1.58903726626517479E+01  0.00000000000000000E+00
  9.09204602301150722E+00  1.59951343140810884E+01  0.00000000000000000E+00
  9.11705852926463223E+00  1.61003082028704227E+01  0.00000000000000000E+00
  9.14207103551775901E+00  1.62058944130690179E+01  0.00000000000000000E+00
  9.16708354177088580E+00  1.63118930184702400E+01  0.00000000000000000E+00
  9.19209604802401259E+00  1.64183040825666424E+01  0.00000000000000000E+00
  9.21710855427713938E+00  1.65251276585054789E+01  0.00000000000000000E+00
