# Formula "1freq_rwa" with E0 = 120.0, T = 50, w_L = 5.9325, w_d = 5.9325
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  4.13956978489244687E+00  3.19313147427288069E+00  0.00000000000000000E+00
  4.16458229114557277E+00  3.23497428220058403E+00  0.00000000000000000E+00
  4.18959479739869955E+00  3.27714066272870674E+00  0.00000000000000000E+00
  4.21460730365182634E+00  3.31963175061426741E+00  0.00000000000000000E+00
  4.23961980990495313E+00  3.36244868297212829E+00  0.00000000000000000E+00
  4.26463231615807992E+00  3.40559259920217405E+00  0.00000000000000000E+00
  4.28964482241120582E+00  3.44906464091636700E+00  0.00000000000000000E+00
  4.31465732866433260E+00  3.49286595186546922E+00  0.00000000000000000E+00
  4.33966983491745939E+00  3.53699767786560937E+00  0.00000000000000000E+00
  4.36468234117058529E+00  3.58146096672455583E+00  0.00000000000000000E+00
  4.38969484742371208E+00  3.62625696816780207E+00  0.00000000000000000E+00
  4.41470735367683886E+00  3.67138683376440023E+00  0.00000000000000000E+00
  4.43971985992996565E+00  3.71685171685259519E+00  0.00000000000000000E+00
  4.46473236618309244E+00  3.76265277246524787E+00  0.00000000000000000E+00
  4.48974487243621834E+00  3.80879115725500572E+00  0.00000000000000000E+00
  4.51475737868934512E+00  3.85526802941929425E+00  0.00000000000000000E+00
  4.53976988494247191E+00  3.90208454862511012E+00  0.00000000000000000E+00
  4.56478239119559781E+00  3.94924187593354503E+00  0.00000000000000000E+00
  4.58979489744872460E+00  3.99674117372422000E+00  0.00000000000000000E+00
  4.61480740370185138E+00  4.04458360561940644E+00  0.00000000000000000E+00
  4.63981990995497817E+00  4.09277033640800347E+00  0.00000000000000000E+00
  4.66483241620810496E+00  4.14130253196935438E+00  0.00000000000000000E+00
  4.68984492246123086E+00  4.19018135919681356E+00  0.00000000000000000E+00
  4.71485742871435765E+00  4.23940798592116774E+00  0.00000000000000000E+00
  4.73986993496748443E+00  4.28898358083387876E+00  0.00000000000000000E+00
  4.76488244122061033E+00  4.33890931341009711E+00  0.00000000000000000E+00
  4.78989494747373712E+00  4.38918635383158406E+00  0.00000000000000000E+00
  4.81490745372686391E+00  4.43981587290938329E+00  0.00000000000000000E+00
  4.83991995997999069E+00  4.49079904200636015E+00  0.00000000000000000E+00
  4.86493246623311748E+00  4.54213703295958915E+00  0.00000000000000000E+00
  4.88994497248624338E+00  4.59383101800255922E+00  0.00000000000000000E+00
