#       x [dimensionless]               E_01 [MHz]               E_10 [MHz]               E_11 [MHz]               E_20 [MHz]               E_02 [MHz]              E_cav [MHz]                 w1 [MHz]                 w2 [MHz]                 wc [MHz]
   8.7878787878787890E-01   6.3136319864621182E+03   5.9762893406049479E+03   1.2290096572975192E+04   1.1689880820156352E+04   1.2187084214237708E+04   6.1737150365694470E+03   6.0000000000000000E+03   6.2636363636363640E+03   6.2000000000000000E+03
   9.3939393939393945E-01   6.3259820159281589E+03   5.9763928210762024E+03   1.2304339160129028E+04   1.1689892521329661E+04   1.2216967623646466E+04   6.1794433448139462E+03   6.0000000000000000E+03   6.2818181818181820E+03   6.2000000000000000E+03
   1.0000000000000000E+00   6.3392581443221570E+03   5.9764841158084746E+03   1.2319499298745170E+04   1.1689903478505410E+04   1.2247113236170364E+04   6.1842577398695066E+03   6.0000000000000000E+03   6.3000000000000000E+03   6.2000000000000000E+03
   1.0606060606060606E+00   6.3533195795060674E+03   5.9765652483299200E+03   1.2335430729168474E+04   1.1689913761380150E+04   1.2276435342060022E+04   6.1882969903459889E+03   6.0000000000000000E+03   6.3181818181818180E+03   6.2000000000000000E+03
   1.1212121212121211E+00   6.3680337916975113E+03   5.9766378193918645E+03   1.2351783495118158E+04   1.1689923431018469E+04   1.2304092385523614E+04   6.1916920252744239E+03   6.0000000000000000E+03   6.3363636363636360E+03   6.2000000000000000E+03
   1.1818181818181817E+00   6.3832844260739221E+03   5.9767031115047284E+03   1.2367705581711933E+04   1.1689932541195172E+04   1.2329349906083449E+04   6.1945579169669654E+03   6.0000000000000000E+03   6.3545454545454540E+03   6.2000000000000000E+03
   1.2424242424242422E+00   6.3989736861826532E+03   5.9767621640217549E+03   1.2381910510705218E+04   1.1689941139482253E+04   1.2444700400416157E+04   6.1969914225230459E+03   6.0000000000000000E+03   6.3727272727272730E+03   6.2000000000000000E+03
   1.3030303030303028E+00   6.4150214983059268E+03   5.9768158279871132E+03   1.2394088536669844E+04   1.1689949268138982E+04   1.2465582340139306E+04   6.1990717646162084E+03   6.0000000000000000E+03   6.3909090909090910E+03   6.2000000000000000E+03
   1.3636363636363633E+00   6.4313632410285936E+03   5.9768648068195325E+03   1.2406343735499548E+04   1.1689956964847661E+04   1.2490332534790716E+04   6.2008628612429457E+03   6.0000000000000000E+03   6.4090909090909090E+03   6.2000000000000000E+03
   1.4242424242424248E+00   6.4479471073352033E+03   5.9769096869119821E+03   1.2421081840641928E+04   1.1689964263327252E+04   1.2517409753970533E+04   6.2024159330256516E+03   6.0000000000000000E+03   6.4272727272727270E+03   6.2000000000000000E+03
