#       x [dimensionless]               E_01 [MHz]               E_10 [MHz]               E_11 [MHz]               E_20 [MHz]               E_02 [MHz]              E_cav [MHz]                 w1 [MHz]                 w2 [MHz]                 wc [MHz]
   5.3535353535353529E+00   5.8889073222307488E+03   5.9888884915361923E+03   1.1878525356058213E+04   1.1694804344176839E+04   1.1477397218079393E+04   6.3969516609806815E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.3747474747474744E+03
   5.5555555555555554E+00   5.8892404289798214E+03   5.9892210016141107E+03   1.1879178371983786E+04   1.1695129080349954E+04   1.1477621540659897E+04   6.4104274582949556E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.3888888888888887E+03
   5.7575757575757578E+00   5.8895546836005815E+03   5.9895348938566749E+03   1.1879792538845955E+04   1.1695440206063831E+04   1.1477838020890675E+04   6.4239407255732076E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.4030303030303030E+03
   5.9595959595959584E+00   5.8898515988763011E+03   5.9898316320122258E+03   1.1880371233914955E+04   1.1695738565741171E+04   1.1478047064088239E+04   6.4374884862831905E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.4171717171717173E+03
   6.1616161616161627E+00   5.8901325342979981E+03   5.9901125364220134E+03   1.1880917454739443E+04   1.1696024934442714E+04   1.1478249047939891E+04   6.4510680605932430E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.4313131313131316E+03
   6.3636363636363633E+00   5.8903987144688654E+03   5.9903788003576119E+03   1.1881433870705092E+04   1.1696300024976561E+04   1.1478444324841112E+04   6.4646770306282342E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.4454545454545450E+03
   6.5656565656565640E+00   5.8906512449972342E+03   5.9906315043017194E+03   1.1881922866506982E+04   1.1696564494132523E+04   1.1478633223996525E+04   6.4783132102970048E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.4595959595959594E+03
   6.7676767676767682E+00   5.8908911262547917E+03   5.9908716284439652E+03   1.1882386578955528E+04   1.1696818948165768E+04   1.1478816053312497E+04   6.4919746190387959E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.4737373737373737E+03
   6.9696969696969688E+00   5.8911192653164708E+03   5.9911000636283125E+03   1.1882826928261327E+04   1.1697063947635492E+04   1.1478993101105068E+04   6.5056594589340048E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.4878787878787880E+03
   7.1717171717171730E+00   5.8913364863518946E+03   5.9913176209604571E+03   1.1883245644732189E+04   1.1697300011689229E+04   1.1479164637644528E+04   6.5193660947080280E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.5020202020202023E+03
   7.3737373737373737E+00   5.8915435396872153E+03   5.9915250402488191E+03   1.1883644291638764E+04   1.1697527621864248E+04   1.1479330916554693E+04   6.5330930362255822E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.5161616161616166E+03
   7.5757575757575744E+00   5.8917411097315935E+03   5.9917229974368456E+03   1.1884024284871059E+04   1.1697747225472456E+04   1.1479492176082969E+04   6.5468389231345909E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.5303030303030300E+03
   7.7777777777777786E+00   5.8919298219230695E+03   5.9919121111546556E+03   1.1884386909893670E+04   1.1697959238619726E+04   1.1479648640254469E+04   6.5606025113668948E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.5444444444444443E+03
   7.9797979797979792E+00   5.8921102488318284E+03   5.9920929485066245E+03   1.1884733336421328E+04   1.1698164048906978E+04   1.1479800519923290E+04   6.5743826612474058E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.5585858585858587E+03
   8.1818181818181799E+00   5.8922829155355867E+03   5.9922660301930446E+03   1.1885064631162008E+04   1.1698362017852574E+04   1.1479948013730995E+04   6.5881783269988155E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.5727272727272730E+03
   8.3838383838383841E+00   5.8924483043618238E+03   5.9924318350481917E+03   1.1885381768916239E+04   1.1698553483067320E+04   1.1480091308982090E+04   6.6019885474588373E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.5868686868686873E+03
   8.5858585858585847E+00   5.8926068590841351E+03   5.9925908040716367E+03   1.1885685642274311E+04   1.1698738760214430E+04   1.1480230582444761E+04   6.6158124378543289E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.6010101010101007E+03
   8.7878787878787890E+00   5.8927589886409696E+03   5.9927433440132008E+03   1.1885977070112524E+04   1.1698918144777068E+04   1.1480366001084352E+04   6.6296491824975237E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.6151515151515150E+03
   8.9898989898989896E+00   5.8929050704378742E+03   5.9928898305668627E+03   1.1886256805057597E+04   1.1699091913655648E+04   1.1480497722735594E+04   6.6434980282881925E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.6292929292929293E+03
   9.1919191919191903E+00   5.8930454532883596E+03   5.9930306112232065E+03   1.1886525540063769E+04   1.1699260326615600E+04   1.1480625896721052E+04   6.6573582789229695E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.6434343434343436E+03
   9.3939393939393945E+00   5.8931804600339592E+03   5.9931660078176192E+03   1.1886783914220305E+04   1.1699423627599223E+04   1.1480750664418345E+04   6.6712292897241796E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.6575757575757580E+03
   9.5959595959595951E+00   5.8933103898876279E+03   5.9932963188147442E+03   1.1887032517894802E+04   1.1699582045919396E+04   1.1480872159783470E+04   6.6851104630147984E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.6717171717171714E+03
   9.7979797979797993E+00   5.8934355205291213E+03   5.9934218213558925E+03   1.1887271897297614E+04   1.1699735797344758E+04   1.1480990509832620E+04   6.6990012439736893E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.6858585858585857E+03
   1.0000000000000000E+01   5.8935561099850111E+03   5.9935427730995789E+03   1.1887502558542499E+04   1.1699885085089418E+04   1.1481105835086873E+04   6.7129011169154064E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.7000000000000000E+03
